bang muc LQ300,Băng mực LQ300,Vật tư hàng hóa,,,0.00 ,Kho HH,0.00 ,90000
Bảng ô ly tiểu học 1.2x15,Bảng ô ly tiểu học 1.2x1.5 xanh,Vật tư hàng hóa,,,0.00 ,Kho HH,1.00 ,666000
Bảng ô ly tiểu học 1.2x16,Bảng ô ly tiểu học 1.2x1.6 xanh,Vật tư hàng hóa,,,0.00 ,Kho HH,1.00 ,710000
Bảng ô ly tiểu học 1.2x18,Bảng ô ly tiểu học 1.2x18 xanh,Vật tư hàng hóa,,,0.00 ,Kho HH,1.00 ,799000
Bảng ô ly tiểu học 80x120,Bảng ô ly tiểu học 0.8x1.2 xanh,Vật tư hàng hóa,,,0.00 ,Kho HH,1.00 ,335000
Bảng tấm HS,Bảng tấm HS,Vật tư hàng hóa,,,0.00 ,Kho HH,3.00 ,159000
bang trang 1.2 x 6.3,Bảng trắng cố định KT 1.2 x 6.3,Vật tư hàng hóa,,,0.00 ,Kho HH,1.00 ,2461000
Bang trang 1.2*6.3,Bảng từ trắng 1.2*6.3,Vật tư hàng hóa,,,0.00 ,Kho HH,0.00 ,2461000
bảng từ HQ trắng T200 1.2,Bảng từ HQ trắng T200 1.2*2,Vật tư hàng hóa,,,0.00 ,Kho HH,5.00 ,4080000
bảng xanh 0.8*1.2,Bảng xanh 0.8*1.2,Vật tư hàng hóa,,,0.00 ,Kho HH,5.00 ,1444000
Bảng xanh 1.2*2,Bảng từ xanh 1.2*2 TQ,Vật tư hàng hóa,,,0.00 ,Kho HH,1.00 ,720000
bảng xanh TH03 1.2*2.6,Bảng từ xanh TH03 1.2*2.6,Vật tư hàng hóa,,,0.00 ,Kho HH,4.00 ,3744000
Băng xóa MG 12m 55771,Băng xóa MG 12m 55771,Vật tư hàng hóa,,,0.00 ,Kho HH,23.00 ,290520
bang0.8*0.6,Bảng từ 0.8*0.6,Vật tư hàng hóa,,,0.00 ,Kho HH,16.00 ,4664400
bang0.8*1.2,Bảng từ 0.8*1.2(m) trắng,Vật tư hàng hóa,,,0.00 ,Kho HH,29.00 ,15146200
bang1.2*1.5xanh,Bảng xanh 1.2*1.5,Vật tư hàng hóa,,,0.00 ,Kho HH,5.00 ,3348000
bang1.2*1.8,Bảng từ 1.2*1.8(m),Vật tư hàng hóa,,,0.00 ,Kho HH,9.00 ,11504000
bang1.2*1.8cochan,Bảng từ 1.2*1.8(m)  có chân,Vật tư hàng hóa,,,0.00 ,Kho HH,0.00 ,1120000
bang1.2*1.8xanh,Bảng xanh 1.2*1.8,Vật tư hàng hóa,,,0.00 ,Kho HH,4.00 ,2614000
bang1.2*2,Bảng từ 2*1.2,Vật tư hàng hóa,,,0.00 ,Kho HH,8.00 ,10344000
bang1.5*2,Bảng từ 1.5*1.2,Vật tư hàng hóa,,,0.00 ,Kho HH,4.00 ,4032000
bang1.6*1.2,Bảng từ 1.6*1.2,Vật tư hàng hóa,,,0.00 ,Kho HH,7.00 ,11033000
bangcodinh1*1.2,Bảng cố định 1*1.2m,Vật tư hàng hóa,,,0.00 ,Kho HH,1.00 ,373500
bangdidong1.2*1.5,Bảng di động cốt nhựa HQ trắng,Vật tư hàng hóa,,,0.00 ,Kho HH,5.00 ,4438000
bangdinh100ya5cm,Băng dính (5F x 50mic x 100yr),Vật tư hàng hóa,,,0.00 ,Kho HH,107.00 ,2553072
bangdinh100ya7cm,Băng dính (7F x 50mic x 100yr),Vật tư hàng hóa,,,0.00 ,Kho HH,2.00 ,5160400
bangdinh1kg,Băng dính trong 1kg,Vật tư hàng hóa,,,0.00 ,Kho HH,119.00 ,15443600
bangdinh2.4kg,"Băng dính 2,4kg",Vật tư hàng hóa,,,0.00 ,Kho HH,12.00 ,176004
bangdinh2mat0.5cm,Băng dính 2 mặt 0.5cm,Vật tư hàng hóa,,,20.00 ,Kho HH,0.00 ,0
bangdinh2mat2cmmong,Băng dính 2 mặt 2cm mỏng,Vật tư hàng hóa,,,20.00 ,Kho HH,15.00 ,16995
bangdinh2mat2cmtrung,Băng dính 2 mặt 2cm trung,Vật tư hàng hóa,,,0.00 ,Kho HH,0.00 ,81000
bangdinh2mat5cmday,Băng dính 2 mặt 5cm dày,Vật tư hàng hóa,,,0.00 ,Kho HH,1.00 ,208320
bangdinh2mat5cmdaytrang,Băng dính 2 mặt trắng 5cm dày,Vật tư hàng hóa,,,0.00 ,Kho HH,15.00 ,162000
